AT,V,AP,RH,PE
21.67,62.39,1007.98,92.96,445.85
23.84,49.21,1013.35,45.4,446.54
25.94,77.24,1007.97,84.82,432.88
27.78,68.67,1005.59,59.17,439.92
27.86,65.18,1012.87,55.53,436.26
10.36,41.46,1017.53,92.04,478.27
23.67,71.77,1004.76,86.13,434.47
24.66,60.29,1018,59.56,445.26
12.72,40.6,1013.45,86.16,471.23
26.03,70.32,1008.81,71.35,438.15
7.09,39.37,1020.07,73.26,487
5.4,39.4,1011.45,91.84,485.86
14.54,39.39,1013.87,76.39,470.23
10.38,40.92,1021.53,95.18,466.46
16.09,44.2,1019.39,67.24,460.56
25.44,69.59,1008.22,80.73,433.97
8.28,40.77,1011.55,89.79,480.15
29.91,74.33,1013.22,39.76,430.26
26.04,52.84,1005.68,65.18,439.36
23.6,57.17,1009.84,74.27,446.05
8.47,40.46,1019.87,78.19,475.06
24.94,74.33,1014.3,75.34,435.21
10.88,44.63,1020.52,86.81,469.57
29.72,74.78,1009.32,55.25,438.19
8.97,36.24,1013.21,90.77,477.89
20.12,45.09,1013.73,57.78,448.35
29.86,69.34,1007.76,54.12,433.57
27.13,59.54,1004.33,73.27,438.32
26.43,66.48,1004.36,55.9,435.59
17.62,43.52,1021.01,71.52,457.45
20.51,39.72,1002.25,47.97,452.39
9.06,41.92,1029.9,90.88,473.37
13.98,40.71,1022.72,71.83,474.46
15.55,42.03,1017.41,74.58,460.84
14.58,42.99,1007.55,93.56,468.43
23.29,65.61,1014.81,70.27,447.67
15.15,53.82,1016.34,62.59,461.6
25.44,61.25,1012.57,87.65,441.77
5.95,39.48,1005.16,63.6,486.07
26.37,69.84,1002.71,83.51,428.6
14.68,58.2,1018.5,83.3,458.51
8.9,36.24,1013.29,89.35,479.03
13.66,40.55,1005.46,96.02,467.7
3.92,41.31,999.22,95.26,487.35
10.12,41.78,1013.43,73.47,477.67
22.06,47.43,1009.85,76.85,453.5
11.06,40.64,1021.47,96.16,479.13
20.54,59.39,1014.07,84.15,445.41
17.44,44.89,1009.9,80.54,457.67
16.29,53.82,1014.97,73.15,459.95
29.91,74.9,1003.36,69.34,434.93
20.86,63.73,1008.54,96.83,440.42
28.84,75.6,1018.41,53.96,442.69
24.49,59.87,1018.4,59.95,444.54
27.21,64.05,1010.08,76.69,442.37
20,63.31,1017.06,63.1,449.68
25.61,47.43,1008.62,54.51,442.96
8.32,39.64,1010.93,78.21,479.69
20.21,60.84,1018.5,82.73,447.73
28.96,66.54,1002.54,56.33,429.48
16.58,43.99,1021.81,79.29,458.67
16.44,53.82,1015.4,63.16,462.09
25.63,56.85,1012.68,49.7,439.2
13.56,39.18,1023.4,63.82,470.38
13.65,42.74,1026.58,71.48,468.87
10.42,41.46,1021.04,89.16,479.24
24.29,57.5,1014.85,67.28,449.98
17.44,45.01,1013.65,75.13,456.08
22.17,70.47,1011.07,82.57,441.14
27.05,75.33,1003.88,82.94,433.57
28.52,70.72,1009.64,66.76,437.72
24.77,57.17,1010.66,73,441.12
12.88,40.64,1020.76,92.58,474.58
19.75,57.32,1010.76,79.29,443.63
28.97,78.92,1011.71,88.5,430.98
14.33,43.41,1015.43,55.4,462.94
7.4,41.04,1024.44,90.9,477.69
28.64,69.23,1013.11,37.13,434.4
17.31,58.49,1011.8,92.77,456.84
8.94,41.74,1022.55,90.74,483.53
19.04,50.12,1010.53,100.09,446.59
26.87,74.99,1002.48,71.91,437.78
25.25,62.91,1012.51,62.64,443.14
24.44,52.84,1006.39,49.05,440.2
7.23,41.22,1015.23,98.04,483.31
20.83,44.78,1008.51,35.9,460.6
15.35,35.4,1016.3,57.12,468.94
20.5,49.69,1009.6,70.81,452.94
29.86,64.79,1017.37,44.8,439.89
18.9,58.46,1016.74,87.65,449.32
25.21,49.82,1016.44,63.14,450.75
8.57,39.69,1000.91,99.9,474.29
20.55,46.21,1013.21,73.18,448.66
28.34,73.68,1015.05,76.73,432
8.99,36.3,1027.08,73.98,478.95
23.19,60.75,1008.33,82,439.43
18.43,44.63,1019.76,39.99,458.75
27.46,68.08,1013.06,46.49,433.72
17.27,40.55,1000.89,70.66,461.31
15.74,43.71,1024.7,78.38,462.66
28.69,58.33,1013.67,34.1,448.54
22.91,68.63,1014.92,55.82,448.01
26.45,69.13,1001.53,89.64,427.5
6.94,39.61,1017.74,81.43,480.07
21.53,59.8,1016.46,74.72,454.99
15.46,44.88,1017.52,93.32,461.2
17.7,50.88,1015.44,89.57,456.78
13.44,39.64,1013.23,73.43,474.79
28.5,79.74,1006.75,87.09,433.08
27.05,59.15,1012.83,56.31,441.39
13.72,34.03,1018.57,65.95,469.25
29.92,69.75,1009.12,67.15,441.5
11.94,44.6,1018.69,85.33,468.53
22.35,51.43,1011.34,77.33,445.34
33.37,79.05,1007.19,62.64,430.42
25.73,62.66,1010.15,54.66,444.85
10.84,39.18,1023.64,87.1,474.49
26.31,48.6,1002.64,60.04,440.06
19.29,50.16,1010.49,97.78,450.21
18.58,44.6,1016.61,48.15,459.06
32.39,79.74,1006.92,58.58,430.12
22.4,68.31,1009.52,83.5,446.91
11.72,40.55,1021.54,85.13,470.8
17.3,58.59,1015.52,87.17,454.88
21.49,68.28,1004.68,80.64,438
23.92,71.98,1006.22,92.96,433.23
23.08,61.86,1013.44,84.64,441.44
6.67,39.37,1019.99,75.61,486.84
19.83,59.21,1012.67,96.42,440.03
12.42,43.8,1023.13,79.8,466.59
14.88,41.66,1009.4,67.15,468.55
23.03,44.89,1010.26,59.85,447.81
14.22,44.99,1012,75.28,460.53
25.41,68.94,1007.21,69.2,436.95
25.84,67.83,1009.26,59.55,433.32
23.89,70.04,1011.16,84.9,433.71
27.44,52.3,1008.15,58.92,441.75
9.89,40.64,1020.59,98.35,478.13
19.06,50.16,1011.36,99.64,449.74
24.8,50.23,1016.62,63.13,453.56
10.02,39.66,1016.34,79.98,480.05
22.67,62.52,1016.47,65.63,449.34
30.98,67.48,1009.96,58.92,439.39
10.02,52.75,1021.93,73.68,473.09
11.7,41.16,1017.98,95.71,462.94
21.96,69.94,1011.09,80.27,441.15
20.73,69.94,1009.9,82.12,445.91
25.95,59.27,1010.9,70.42,444.19
26.16,52.36,1013.62,58.52,453.08
16.3,41.16,1007.88,76.61,463.47
24.45,68.63,1013.38,45.35,446.33
6.49,38.68,1017.94,64.81,485.95
24.01,65.46,1014.17,43.02,443.81
22.24,64.27,1012.97,89.54,443.76
18.27,50.16,1011.07,95.91,451.76
26.97,71.58,1010.13,75.16,433.88
4.47,35.19,1018.78,92.68,487.43
19.79,64.45,1016.14,73.54,451.37
30.17,75.08,1005.17,55.89,438.89
6.09,43.65,1020.95,71.15,485.96
20,39.53,1007.59,62.09,456.28
26.08,76.86,1003.3,79.49,436.85
30.27,64.69,1006.3,53.69,435.67
9.27,36.3,1026.93,72.13,479.66
22.28,59.92,1009.36,95.38,437.85
11.97,45.51,1016.84,81.47,472.82
27.92,69.23,1013.21,44.43,435.62
11.83,44.6,1018.49,89.06,469.96
13.9,41.17,1016.84,72.9,468.96
23.99,68.12,1012.92,70.68,437.14
10.03,42.02,998.6,99.9,471.07
12.64,41.79,1016.38,92.65,461.46
26.63,64.44,1012.66,61.19,442
32.15,72.29,1010.13,50.19,435.71
14.74,43.71,1024.35,81.53,465.49
18.04,44.85,1015.13,48.4,463.31
10.62,39.58,1011.9,87.85,479.91
27.36,63.31,1013.7,51.58,440.4
15.69,44.6,1014.06,61.51,462.07
31.19,68.3,1014.86,39.1,430.48
19.98,56.53,1020.22,73.53,454.89
11.95,41.48,1013.44,74.83,465.41
6.49,35.57,1025.4,79.67,486.8
13.05,44.34,1018.47,81.2,473.4
28.59,75.08,1005.58,60.3,442.7
18.53,48.98,1014.24,74.29,452.73
7.11,40.77,1022.4,90.95,475.55
22.52,66.48,1003.87,78.29,435.02
26.11,62.44,1010.68,72.59,438.87
27.06,43.77,1011.02,42.61,442.15
24.57,51.95,1005.8,70.07,448.15
22.7,63.56,1014.32,71.76,445
17.15,43.69,1017.05,63.36,463.88
18.58,46.97,1014.25,74.09,454.26
12.12,38.28,1013.65,90.19,471.19
17.32,44.34,1019.52,56.24,468.8
8.77,40.77,1011.54,89.58,480.56
24.99,48.92,1010.03,41.26,443.12
15.09,40.89,1010.15,92,466.47
22.12,60.77,1018.01,83.87,443.97
26.54,71.14,1007.52,72.04,431.31
14.69,53.82,1016.54,63.49,463.52
30.44,56.24,1005.19,56.24,429.34
14.44,39,1017.06,76.02,466.96
14.46,45.87,1009.21,84.09,464.5
24.2,50.78,1008.74,59.32,443.09
24.63,63.9,1014.53,75.24,440.23
28.8,73.4,1011.34,54.01,439.65
31.33,65.18,1011.97,36.62,435.77
17.36,39.53,1008.28,68.87,456.57
16.81,45.87,1008.7,98,455.96
12.45,40.81,1025.63,66.26,474.73
25.85,67.69,1007.7,70.14,434
22.29,45.01,1012.4,51.58,449.08
24.14,62.66,1007.33,73.27,439.93
18.22,39.63,1005.11,79,465.78
14.66,42.77,1019.37,79.79,463.6
23.96,65.34,1015.52,56.82,449.23
22.32,47.93,1004.07,86.95,440.21
29.83,71.98,1004.32,67.55,426.98
14.67,42.28,1007.21,65.17,469.02
27.89,69.88,1007.99,85.62,430.75
9.78,41.93,1023.18,75.05,484.03
20.76,70.72,1009.73,89.04,448.85
29.05,64.84,1011.1,51.39,442.58
23.56,71.85,1009.67,74.78,439.48
28.11,70.98,1007.76,85.6,431.83
17.97,65.94,1012.92,88.22,448.88
12.08,40.24,1016.63,92.32,474.07
21.28,70.72,1010.29,86.22,445.54
11.56,40.71,1015.85,76.08,469.17
26.13,57.32,1012.27,45.78,441.6
14.81,40.71,1018.54,73,467.66
20.01,43.77,1012.13,65.53,455.66
21.96,58.79,1010.51,87.32,448.89
27.94,69.84,1003.11,70.47,428.67
17.06,52.9,1019.76,80.9,460.82
27.28,51.43,1011.46,51.38,450.53
30.34,71.25,1000.94,67.29,431.18
11.83,45.09,1013.11,88.52,470.32
8.95,36.18,1014.08,76.94,478.07
26.35,59.44,1012.16,63.73,443.73
21.82,63.9,1014.48,92.53,447.29
16.34,41.48,1015.92,48.24,453.6
9.82,41.26,1007.71,96.69,478.02
28.82,64.79,1016.74,56.34,445.1
14.65,44.84,1023.39,87.76,467.18
22.5,59.43,1010.31,72.17,441.92
31.27,73.77,1003.27,71.48,430.32
19.65,51.3,1014.81,90.23,452.5
23.36,72.24,1010.99,94.41,434.15
8.9,39.96,1026.31,95.46,474.49
11.48,41.14,1027.67,90.5,464.07
32.9,68.51,1012.95,50.09,430.23
13.86,37.85,1011.4,89.7,469.94
20.98,42.23,1013.12,67.37,461.9
24.17,73.18,1011.72,86.1,437.27
25.02,60.77,1016.71,69.85,441.21
29.23,72.99,1007.04,63.47,431
16.86,39.63,1004.47,83.5,466.68
12.73,37.73,1021.89,61.76,470.89
20.48,51.43,1007.4,90.7,448.03
30.26,77.24,1008.39,74.25,430.51
26.43,58.41,1013.57,64.67,444.74
8.11,41.92,1029.61,91.92,483.52
14.56,40.89,1010.94,79.57,467.53
17.01,44.2,1019.18,61.23,457.26
19.06,44.63,1004.23,84.43,456.54
20.3,56.53,1020.27,76.49,454.12
10.45,39.69,1003.92,89.45,472.54
24.34,73.5,1011.31,84.15,440.29
18.33,49.64,1025.36,62.57,468.14
15.69,39.3,1019.03,60.57,464.17
22.76,58.96,1013.85,55.95,454.05
8.42,40.64,1022.35,96.38,476.29
25.82,59.43,1008.08,65.25,436.67
5.71,40.77,1022.51,89.58,485.75
22.1,71.29,1008.2,75.38,442.35
21.7,60.77,1018.07,88.15,444.66
18.89,66.86,1012.38,71.96,454.02
25.9,59.54,1007.3,78.38,439.36
27.15,59.21,1013.49,51.71,440.27
22.2,51.19,1009.2,82.95,445.54
13.84,42.18,1015.74,79.76,468.66
28.62,70.32,1008.87,46.67,431.03
13.32,44.2,1020.02,78.78,465.57
21.34,59.8,1016.92,77.06,450.74
24.6,48.78,1018.1,73.71,442.23
10.87,38.38,1020.85,69.78,477.03
9.15,44.03,1012.45,81.67,474.26
21.82,50.66,1013.74,73.6,455.2
21.71,65.27,1013.24,63.58,444.91
30.31,74.16,1010.69,58.81,436.23
24.39,70.72,1009.78,82.25,442.04
16.82,41.66,1010.49,63.14,465.64
32.98,73.88,1006.31,47.55,440.28
14.81,39.58,1011.62,73.64,467.32
17.7,43.69,1016.98,61.98,462.63
29.42,69.14,1007.32,75.04,437.75
21.19,67.71,1006.65,56.28,441.71
21.33,60.1,1010.97,78.36,451.95
14.43,44.47,1028.57,70.7,466.56
24.23,59.04,1011.91,71.79,443.06
19.3,46.93,1014.83,66.71,456.62
25.68,70.17,1001.38,85.89,433.92
22.7,48.14,1014.06,60.09,448.96
25.16,68.08,1010.89,70.16,435.78
24.79,50.78,1008.78,61.88,445.3
24.19,68.94,1007.37,70.83,439.52
17.5,42.23,1013.37,86.87,462.57
10.67,45,1022.99,85.91,481.83
7.04,41.74,1021.91,88.55,488.99
31.04,68.31,1010.54,42.74,441.56
9.16,42.44,1014.43,93.67,480.98
9,41.54,1018.83,79.61,484.08
22.89,74.78,1009.79,81.57,443.7
22.38,49.3,1003.56,83.83,441
21.24,63.47,1011.86,97.02,442.94
9.56,41.55,1002.67,70.27,481.24
22.61,44.05,1005.69,76.74,443.45
9.95,43.56,1014.85,82.62,477.88
31.35,67.32,1013.74,38.56,439.81
14.91,46.9,1019.59,98.1,461.73
27.22,67.9,1005.73,57.29,441.22
9.21,39.72,1019.54,74.44,478.96
5.06,40.64,1021.49,93.7,483.73
21.51,65.48,1017.11,72.99,448.65
32.27,71.85,1007.88,56.01,427.56
9.51,40.81,1015.69,82.52,475.29
22.72,69.13,1010.81,92.43,438.01
20.09,61.27,1020.05,70.71,451.43
18.02,49.78,1003.86,100.09,451.41
13.48,41.92,1030.2,65.96,463.9
26.78,66.54,1010.14,49.01,440
22.52,64.27,1014.34,82.77,445.4
23.36,74.93,1016.57,71.91,443.78
31.74,79.74,1007.07,61.47,431.72
27.2,59.74,1011.99,56.74,440.13
23.42,50.05,1006.79,86.45,441.8
15.75,36.99,1007.67,93.8,464.38
23.63,60.93,1006.41,83.06,439.9
14.02,43.34,1016.06,85.8,466.38
24.86,44.05,1005.69,66.65,447.2
10.93,39.22,1019.44,64.94,473.27
18.51,50.9,1012.95,82.71,459.11
7.84,40.07,1016.68,47.63,488.7
17.98,53.29,1018.29,83.46,455.71
14.07,45.09,1013.32,94.45,462.69
8.22,41.82,1032.77,71.63,477.86
27.22,66.49,1013.45,42.41,437.24
7.99,41.38,1021.95,78.77,487.57
7.21,42.03,1017.81,90.12,482.26
17.81,45,1022.32,43.84,471
10.74,40.05,1015.45,87.33,477.93
28.06,68.24,1010.27,69.72,429.47
28.09,63.31,1013.01,52.6,438.6
18.01,54.9,1017.04,77.82,455.91
13.32,41.7,1020.22,88.3,451.93
31.38,71.32,1009.17,60.42,433.44
17.76,42.42,1009.09,66.26,468.27
28.98,73.42,1011.25,72.9,432.2
15.79,50.88,1014.58,99.9,460.19
24.67,68.14,1004.96,58.15,438.4
31.87,68.67,1005.64,48.85,435.66
29.3,73.67,1005.64,65.31,431.07
14.87,38.28,1014.65,80.24,467.29
22.95,67.79,1009.89,91.69,442.19
6.1,40.07,1020.21,67.24,494.43
10.66,41.93,1016.12,94.16,479.61
33.2,70.8,1008.75,59.41,430.71
24.31,63.86,1019.47,58.54,442.69
27.69,70.32,1012.2,82.27,432.57
18.14,67.71,1003.82,95.69,442.45
9.83,41.17,1019.34,72.29,478.21
10,39.66,1016.83,78.91,479.97
27.37,76.2,1006.03,67.07,435.64
27.62,63.9,1013.11,43.56,442.89
8.6,42.28,1008.58,80.15,484.21
15.67,48.78,1013.76,88.92,462.96
11.75,42.32,1015.28,77.25,470.44
22.06,45.61,1014.3,77.75,455.61
24.78,50.16,1004.56,70.22,448.51
26.69,70.36,1006.82,68.29,435.04
12.76,41.48,1014.06,70.34,461.61
14.39,44.21,1019.77,85.7,465.03
14.68,41.23,998.43,83.71,469.25
12.57,41.79,1014.99,87.8,461.88
8.7,36.24,1013.34,89.5,478.69
9.08,36.71,1025.07,81.32,479.02
10.52,41.01,1020.35,93.58,466.75
18.22,45.09,1013.62,75.56,454.74
8.89,41.54,1019.27,82.87,483.82
19.54,50.66,1014.7,84.53,456.61
30.13,71.98,1004.95,63.62,431
18.9,56.03,1020.77,71.83,457.66
22.24,41.1,1001.96,42.6,451.95
25.23,60.84,1017.79,56.42,442.02
14.6,44.84,1023.58,88.21,464.88
15.47,44.9,1021.59,81.74,465.61
19.54,44.57,1007.19,78.93,450.54
7.28,40.67,1020.16,72.7,493.3
6.07,38.91,1019.25,83.39,483.56
22.88,59.21,1011.51,86.93,440.25
28.18,64.84,1009.22,56.04,443.65
20.2,64.45,1009.03,61.77,452.33
25.06,62.39,1008.09,82.56,438.31
29.12,73.06,1009.98,80.21,434.9
20.26,51.19,1008.9,93.47,448.1
21.04,45.09,1014.19,40.62,450.92
13.09,39.85,1012.86,58.42,475.89
13.1,49.83,1007.29,92.79,466.08
17.59,65.48,1018.96,81.34,454.51
20.56,64.45,1012.24,53.09,458.97
25.59,62.39,1006.37,74.06,435.84
29.78,70.98,1007.82,77.59,436.32
11.86,40.27,1008.06,72.91,474.57
23.22,59.15,1014.58,75.18,443.7
15.16,40.73,1017.7,86.37,459.19
17.48,49.39,1021.51,84.53,460.01
31.95,70.8,1008.38,66.26,432.79
15.64,44.21,1020.17,83.28,462.42
21.65,56.89,1013.13,66.07,445.93
23.93,64.05,1013.09,86.02,440.66
3.21,38.44,1016.9,86.34,491.35
6.59,39.37,1020.34,77.92,488.17
10.19,44.63,1020.58,91.64,472.45
15.68,43.7,1015.09,58.96,470.29
31.85,69.04,1008.35,46.09,434.79
30.13,68.94,1005.88,40.71,441.78
14.1,48.92,1011.6,84.39,461.34
13.74,39.35,1014.82,77.48,471.11
7,39.81,1017.47,87.65,484.51
10.98,37.5,1011.12,97.51,472.34
13.56,40.75,1016.05,74.64,474.26
9.2,39.82,1013.19,91.25,482.89
26.9,60.93,1007.1,67.32,435.87
23.85,72.43,1008.01,88.34,439.02
19.64,56.65,1020.79,73.88,456.03
21.33,50.32,1008.58,85.3,442.44
29.4,57.19,1008.34,53.95,436.92
19.22,62.1,1019.43,79.19,451.8
30.69,74.16,1012.71,60.89,435.17
25.97,57.32,1012.13,47.48,442.73
14.38,40.1,1015.51,81.23,467.28
28.14,61.47,1009.69,64.66,435.35
19.11,50.16,1010.88,100.09,450.38
10.76,44.58,1016.41,79.24,483.54
18.23,62.26,1011.48,91.35,448.64
16,43.34,1013.89,78.39,462.33
27.01,69.75,1009.78,81.29,442.57
31.21,66.44,1008.57,65.76,430.7
17.08,40.12,1012.17,81.5,457.81
17.95,59.15,1012.73,84.27,449.14
22.1,68.63,1015.19,59.05,449.54
28.05,62.6,1017.01,46.46,449.73
22.49,69.84,1006.78,73.76,437.57
7.87,43.02,1014.67,83.58,485.61
11.09,41.58,1020.99,91.09,464.81
26.15,64.27,1013.03,59.77,439.11
14.79,39.52,1017.95,71.97,469.47
21.03,63.86,1014.84,71.72,450.64
25.13,57.69,1007.43,78.43,437.8
14.02,42.86,1030.86,68.36,467.29
15.36,40.89,1007.59,86.08,464.12
28.82,71.8,1010.97,67.64,436.71
24.54,65.46,1014.27,40.77,446.26
32.32,76.09,1006.63,62.96,432.53
14.96,43.02,1012.77,42.93,467.16
15.36,41.35,1002.4,91.67,465.01
19.17,52.9,1016.56,65.23,458.59
12.45,40.1,1015.4,82.61,473.63
16.22,37.87,1022.36,83.13,461.06
10.81,45,1023.45,85.89,482.63
26.38,71.73,1010.04,69.45,431.66
10.91,39.61,1018.44,64.38,469.42
27.5,65.34,1014.93,47.46,439.59
25.77,68.08,1010.99,73.58,433.46
20.94,44.58,1016.98,59.65,463.69
31.28,69.51,1010.09,36.85,429.29
26.81,56.57,1013.68,61.6,442.94
8.43,40.69,1020.36,87.28,484.94
13.89,45.08,1024.64,82.29,467.74
17.04,40.12,1011.81,83.14,458.1
18.11,58.95,1016.61,89.17,454.29
24.41,73.67,1007.39,86.92,435.56
20.25,63.91,1009.27,97.97,448.37
29.76,73.56,1008.07,84.85,432.51
15.24,48.6,1007.08,86.49,459.85
20.86,39.72,1001.73,56.38,456.27
25.87,63.47,1011.54,65.45,445.87
13.34,40.8,1026.56,64.85,474.47
27.76,72.58,1009.04,84.96,429.25
32.91,73.68,1014.49,50.62,426.28
12.19,40.23,1017.45,82.07,474.91
14.73,39.82,1012.67,80.82,470.41
16.91,43.96,1013.32,79.87,465.86
27.28,47.93,1003.46,59.22,438
26.49,61.86,1012.55,74.24,440.21
8.26,39.42,1025.89,70.53,474.72
20.94,49.02,1008.91,87.32,448.18
14.78,38.58,1017.02,82.4,460.54
15.57,38.78,1013.51,95.38,463.47
32,71.85,1008.44,53.59,427.95
9.27,39.64,1010.79,79.56,480.29
26.44,59.15,1013.35,60.71,439.65
16.71,42.99,1007.72,75.35,465.09
30.54,70.17,999.42,64.32,434.62
7.26,36.08,1021.47,83.15,483.58
25.41,48.06,1013.12,46.52,444.01
16.09,48.78,1015.78,91.12,454.23
13.7,45.64,1019.18,92.66,467.9
31.84,77.95,1014.9,55.35,433.28
19.95,50.59,1016.11,73.23,459.27
33.94,74.67,1015.94,28.16,427.98
14.17,39.59,1010.99,94.08,464.17
7.67,41.66,1016.25,77,485.03
20.9,67.07,1005.43,82.85,443.46
25.76,57.32,1011.93,43.61,440.26
11.3,44.6,1018.19,91.66,470.5
24.01,50.16,1004.22,75.32,443.03
29.52,64.79,1017.53,44.83,439.6
9.41,34.69,1027.02,78.91,480.87
24.6,49.3,1003.72,72.26,439.46
25.79,70.4,1007.11,86.03,437.98
27.68,69.34,1008.28,70.9,436.37
8.72,36.25,1029.31,85.73,479.94
20.37,60.08,1017.44,76.33,454.47
23.19,48.6,1002.38,61.19,445.52
14.41,40.83,1009.82,80.43,470.13
8.97,39.66,1021.63,78.94,482.62
13.93,42.86,1032.37,71.11,468.88
27.13,69.45,1013.9,51.16,434.47
29.64,54.2,1013,39.56,438.12
31.84,71.37,1003.51,46.22,432.04
8.58,38.38,1021.03,84.37,482.26
24.8,65.48,1018.56,62.05,442.02
29.73,67.25,1017.64,37.79,439.06
12.11,38.28,1013.56,93.21,469.93
12.2,44.77,1018.64,76.1,469.41
19.31,60.07,1014.86,69.37,453.47
25.14,60.29,1017.91,53.3,444.5
30.9,73.68,1014.95,40.9,430.29
24.33,46.93,1013.83,44.59,447.54
10.73,44.92,1025.1,85.4,476.81
32.37,68.67,1005.45,47.98,430.35
12.25,44.58,1016.47,81.15,475.24
8.85,40.43,1025.68,80.42,491.81
9.28,41.38,1021.96,72.22,486.18
19.3,44.9,1008.89,70.55,452.75
31.35,70.8,1010.11,66.37,432.19
31.65,66.25,1008.57,59.05,437.35
21.46,51.61,1010.91,76.41,457.28
8.88,39.66,1015.21,88.29,481.45
27.19,71.58,1010.85,76.1,436.77
25.8,65.38,1009.3,52.28,450.5
29.72,77.95,1014.9,72.73,434.99
